bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"ACP Avenu Midco LLC, First lien senior secured loan",ACP Avenu Midco LLC,ACP Avenu Midco LLC,First Lien,,,,13100000.0,13000000.0,13100000.0,,100.0,5.0,8.66,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"ACP Avenu Midco LLC, First lien senior secured loan 1",ACP Avenu Midco LLC,ACP Avenu Midco LLC,First Lien,,,,3600000.0,3500000.0,3600000.0,,100.0,5.0,8.66,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Actfy Buyer, Inc., First lien senior secured loan","Actfy Buyer, Inc.","Actfy Buyer, Inc.",First Lien,,,,20900000.0,20900000.0,20900000.0,,100.0,4.75,8.42,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP, First lien senior secured loan","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",First Lien,,,,42000000.0,42000000.0,42000000.0,,100.0,5.25,8.95,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP, First lien senior secured loan 1","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",First Lien,,,,6800000.0,6800000.0,6800000.0,,100.0,5.25,8.95,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP, Limited partnership interest","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",LP Interest,,,,12800000.0,10200000.0,,9249000.0,125.49,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Adonis Bidco Inc., First lien senior secured loan",Adonis Bidco Inc.,Adonis Bidco Inc.,First Lien,,,,10800000.0,11100000.0,11100000.0,,97.3,5.5,9.2,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Adonis Bidco Inc., First lien senior secured loan 1",Adonis Bidco Inc.,Adonis Bidco Inc.,First Lien,,,,232500000.0,237300000.0,237300000.0,,97.98,5.75,9.45,,2.88,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"AI Titan Parent, Inc., First lien senior secured loan","AI Titan Parent, Inc.","AI Titan Parent, Inc.",First Lien,,,,7200000.0,7300000.0,7300000.0,,98.63,4.5,8.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Anaplan, Inc., First lien senior secured loan","Anaplan, Inc.","Anaplan, Inc.",First Lien,,,,5700000.0,5800000.0,5800000.0,,98.28,4.5,8.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"APG Intermediate Holdings Corporation and APG Holdings, LLC, First lien senior secured loan","APG Intermediate Holdings Corporation and APG Holdings, LLC","APG Intermediate Holdings Corporation and APG Holdings, LLC",First Lien,,,,6300000.0,9800000.0,,9750000.0,64.29,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Apple Bidco Holdings, Inc., First lien senior secured revolving loan","Apple Bidco Holdings, Inc.","Apple Bidco Holdings, Inc.",First Lien,,,,1200000.0,1200000.0,1200000.0,,100.0,4.5,8.2,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Apple Bidco Holdings, Inc., First lien senior secured loan","Apple Bidco Holdings, Inc.","Apple Bidco Holdings, Inc.",First Lien,,,,51600000.0,53200000.0,53200000.0,,96.99,4.5,8.2,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc., First lien senior secured loan","Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.","Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.",First Lien,,,,2800000.0,2800000.0,2800000.0,,100.0,4.75,8.52,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Aptean, Inc. and Aptean Acquiror Inc., First lien senior secured revolving loan","Aptean, Inc. and Aptean Acquiror Inc.","Aptean, Inc. and Aptean Acquiror Inc.",First Lien,,,,100000.0,100000.0,100000.0,,100.0,4.75,8.42,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Aptean, Inc. and Aptean Acquiror Inc., First lien senior secured loan","Aptean, Inc. and Aptean Acquiror Inc.","Aptean, Inc. and Aptean Acquiror Inc.",First Lien,,,,19600000.0,19700000.0,19800000.0,,98.99,4.75,8.42,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Archduke Buyer, Inc., First lien senior secured loan","Archduke Buyer, Inc.","Archduke Buyer, Inc.",First Lien,,,,60400000.0,61000000.0,61000000.0,,99.02,5.5,9.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Arrow Borrower 2025, Inc., First lien senior secured loan","Arrow Borrower 2025, Inc.","Arrow Borrower 2025, Inc.",First Lien,,,,28000000.0,28300000.0,28300000.0,,98.94,4.25,7.95,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Artifact Bidco, Inc., First lien senior secured loan","Artifact Bidco, Inc.","Artifact Bidco, Inc.",First Lien,,,,7400000.0,7400000.0,7400000.0,,100.0,4.15,7.85,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Aston Bidco (Holding) Limited, First lien senior secured loan",Aston Bidco (Holding) Limited,Aston Bidco (Holding) Limited,First Lien,,,,108300000.0,108200000.0,108300000.0,,100.0,6.0,9.87,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Auctane, Inc., First lien senior secured loan","Auctane, Inc.","Auctane, Inc.",First Lien,,,,143400000.0,143400000.0,143400000.0,,100.0,5.75,9.58,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc., First lien senior secured revolving loan","Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc.","Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc.",First Lien,,,,1100000.0,1100000.0,1100000.0,,100.0,5.5,9.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc., First lien senior secured loan","Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc.","Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc.",First Lien,,,,140900000.0,140900000.0,140900000.0,,100.0,5.5,9.17,,,False,,,USD,
