bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Accurus Aerospace Corporation | First Lien Senior Secured Term Loan,Accurus Aerospace Corporation |,Accurus Aerospace Corporation |,First Lien,,,,12967000.0,12925000.0,12992000.0,,99.81,4.75,8.6,,,False,,,USD,12967000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Accurus Aerospace Corporation | Revolver,Accurus Aerospace Corporation | Revolver,Accurus Aerospace Corporation | Revolver,,,,,1494000.0,1488000.0,1498000.0,,99.73,4.75,8.6,,,False,,,USD,1494000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,ATL II MRO Holdings Inc. | First Lien Senior Secured Term Loan,ATL II MRO Holdings Inc. |,ATL II MRO Holdings Inc. |,First Lien,,,,18829000.0,18807000.0,19019000.0,,99.0,4.75,8.2,,,False,,,USD,18829000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,ATL II MRO Holdings Inc. | Revolver,ATL II MRO Holdings Inc. | Revolver,ATL II MRO Holdings Inc. | Revolver,,,,,-33000.0,-31000.0,0.0,,106.45,4.75,8.2,,,False,,,USD,-33000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Balaena Maritime (UK) Limited | First Lien Senior Secured Term Loan,Balaena Maritime (UK) Limited |,Balaena Maritime (UK) Limited |,First Lien,,,,19513000.0,19622000.0,20012000.0,,97.51,12.0,15.7,,,False,,,USD,19513000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Compass Precision, LLC | Senior Subordinated Term Loan",Compass Precision,Compass Precision,Senior Subordinated,,,,658000.0,655000.0,658000.0,,100.0,,11.0,,1.0,True,,,USD,658000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"GB Eagle Buyer, Inc. | First Lien Senior Secured Term Loan",GB Eagle Buyer,GB Eagle Buyer,First Lien,,,,7048000.0,6962000.0,7048000.0,,100.0,4.75,8.5,,,False,,,USD,7048000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"GB Eagle Buyer, Inc. | Revolver","GB Eagle Buyer, Inc. | Revolver","GB Eagle Buyer, Inc. | Revolver",,,,,0.0,-37000.0,0.0,,-0.0,4.75,8.5,,,False,,,USD,0.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,M-Personal Protection Management GmbH | First Lien Senior Secured Term Loan,M-Personal Protection Management GmbH |,M-Personal Protection Management GmbH |,First Lien,,,,4029000.0,3790000.0,4029000.0,,100.0,5.0,7.3,,,False,,,USD,4029000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Megawatt Acquisitionco, Inc. | First Lien Senior Secured Term Loan",Megawatt Acquisitionco,Megawatt Acquisitionco,First Lien,,,,4004000.0,3952000.0,4004000.0,,100.0,5.25,9.0,,,False,,,USD,4004000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Megawatt Acquisitionco, Inc. | Revolver","Megawatt Acquisitionco, Inc. | Revolver","Megawatt Acquisitionco, Inc. | Revolver",,,,,150000.0,142000.0,150000.0,,100.0,5.25,9.0,,,False,,,USD,150000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Protego Bidco B.V. | Super Senior Secured Term Loan,Protego Bidco B.V. | Super Senior Secured Term Loan,Protego Bidco B.V. | Super Senior Secured Term Loan,,,,,1457000.0,1416000.0,1457000.0,,100.0,6.0,8.3,,,False,,,USD,1457000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Protego Bidco B.V. | First Lien Senior Secured Term Loan,Protego Bidco B.V. |,Protego Bidco B.V. |,First Lien,,,,1867000.0,1901000.0,1867000.0,,100.0,6.0,8.3,,,False,,,USD,1867000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Protego Bidco B.V. | Revolver,Protego Bidco B.V. | Revolver,Protego Bidco B.V. | Revolver,,,,,2239000.0,2303000.0,2239000.0,,100.0,6.5,8.8,,,False,,,USD,2239000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Sisu Acquisitionco., Inc. | First Lien Senior Secured Term Loan",Sisu Acquisitionco.,Sisu Acquisitionco.,First Lien,,,,7117000.0,7168000.0,7183000.0,,99.08,5.0,8.8,,,False,,,USD,7117000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Surface Finishing Technologies Inc. | First Lien Senior Secured Term Loan,Surface Finishing Technologies Inc. |,Surface Finishing Technologies Inc. |,First Lien,,,,7100000.0,7104000.0,7207000.0,,98.52,4.75,8.5,,,False,,,USD,7100000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Surface Finishing Technologies Inc. | Revolver,Surface Finishing Technologies Inc. | Revolver,Surface Finishing Technologies Inc. | Revolver,,,,,-18000.0,-17000.0,0.0,,105.88,4.75,8.5,,,False,,,USD,-18000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Trident Maritime Systems, Inc. | First Lien Senior Secured Term Loan",Trident Maritime Systems,Trident Maritime Systems,First Lien,,,,10519000.0,12205000.0,12231000.0,,86.0,5.5,9.3,,2.0,True,,,USD,10519000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Whitcraft Holdings, Inc. | First Lien Senior Secured Term Loan",Whitcraft Holdings,Whitcraft Holdings,First Lien,,,,13018000.0,12893000.0,13070000.0,,99.6,5.0,8.7,,,False,,,USD,13018000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Whitcraft Holdings, Inc. | Revolver","Whitcraft Holdings, Inc. | Revolver","Whitcraft Holdings, Inc. | Revolver",,,,,709000.0,683000.0,717000.0,,98.88,5.0,8.7,,,False,,,USD,709000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Burgess Point Purchaser Corporation | Second Lien Senior Secured Term Loan,Burgess Point Purchaser Corporation |,Burgess Point Purchaser Corporation |,Second Lien,,,,4159000.0,4444000.0,4545000.0,,91.51,9.0,12.8,,,False,,,USD,4159000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,OAC Holdings I Corp | First Lien Senior Secured Term Loan,OAC Holdings I Corp |,OAC Holdings I Corp |,First Lien,,,,3276000.0,3249000.0,3276000.0,,100.0,5.0,8.8,,,False,,,USD,3276000.0
