bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | 1251 Insurance Distribution Platform Payco, LP | Diversified Financial Services","1251 Insurance Distribution Platform Payco, LP","1251 Insurance Distribution Platform Payco, LP",First Lien,Diversified Financial Services,,,21494000.0,21470000.0,21667000.0,,100.11,4.5,8.2,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | AAH Topco., LLC | Healthcare & Pharmaceuticals","AAH Topco., LLC","AAH Topco., LLC",First Lien,Healthcare & Pharmaceuticals,,,3600000.0,3573000.0,3639000.0,,100.76,5.0,8.67,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | AArete Investment, LLC | Healthcare & Pharmaceuticals","AArete Investment, LLC","AArete Investment, LLC",First Lien,Healthcare & Pharmaceuticals,,,3264000.0,3231000.0,3296000.0,,101.02,4.25,7.95,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Addev Group (France) | Aerospace & Defense 1,Addev Group (France),Addev Group (France),First Lien,Aerospace & Defense 1,,,39000.0,39000.0,37000.0,,100.0,5.75,7.88,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Addev Group (France) | Aerospace & Defense 2,Addev Group (France),Addev Group (France),First Lien,Aerospace & Defense 2,,,253000.0,253000.0,258000.0,,100.0,5.75,9.43,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | ADPD Holdings, LLC | Consumer Services","ADPD Holdings, LLC","ADPD Holdings, LLC",First Lien,Consumer Services,,,18605000.0,20727000.0,21465000.0,,89.76,1.0,9.78,,5.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Advanced Web Technologies Holding Company | Containers, Packaging & Glass",Advanced Web Technologies Holding Company,Advanced Web Technologies Holding Company,First Lien,"Containers, Packaging & Glass",,,15565000.0,15664000.0,15742000.0,,99.37,4.25,10.25,,2.25,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | AGS Health BCP LLC | Healthcare & Pharmaceuticals,AGS Health BCP LLC,AGS Health BCP LLC,First Lien,Healthcare & Pharmaceuticals,,,-17000.0,-10000.0,0.0,,170.0,4.5,8.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | AI Grace AUS Bidco Pty LTD (Australia) | Consumer Goods: Non-Durable,AI Grace AUS Bidco Pty LTD (Australia),AI Grace AUS Bidco Pty LTD (Australia),First Lien,Consumer Goods: Non-Durable,,,4468000.0,4510000.0,4571000.0,,99.07,5.25,8.92,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Allied Benefit Systems Intermediate LLC | Healthcare & Pharmaceuticals,Allied Benefit Systems Intermediate LLC,Allied Benefit Systems Intermediate LLC,First Lien,Healthcare & Pharmaceuticals,,,14048000.0,14151000.0,14130000.0,,99.27,5.0,8.7,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Alpine Acquisition Corp II | Transportation: Cargo 1,Alpine Acquisition Corp II,Alpine Acquisition Corp II,First Lien,Transportation: Cargo 1,,,0.0,0.0,0.0,,,4.75,8.43,,,False,,,USD,
