bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,3Pillar Global Inc | Software & Services 1,3Pillar Global Inc,3Pillar Global Inc,,Software & Services,,,2345568.8477460057,2616211.407101314,2616211.407101314,,89.66,6.0,,,,False,,,USD,2600000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,3Pillar Global Inc | Software & Services 2,3Pillar Global Inc,3Pillar Global Inc,,Software & Services,,,99145390.91049463,109520022.35244812,109971093.28470697,,90.16,6.0,,,,False,,,USD,109900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,3Pillar Global Inc | Software & Services 3,3Pillar Global Inc,3Pillar Global Inc,,Software & Services,,,5142208.627750859,5683493.746461475,5683493.746461475,,90.48,6.0,,,,False,,,USD,5700000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 1,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,14704912.39163842,14253841.459379572,14704912.39163842,,100.0,5.0,,,,False,,,USD,16300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 2,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,18764550.781968046,18223265.663257428,18764550.781968046,,100.0,5.3,,,0.0,False,,,USD,20800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 3,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,5683493.746461475,5683493.746461475,5683493.746461475,,100.0,4.8,,,,False,,,USD,6300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 4,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,1443426.9832283112,1443426.9832283112,1443426.9832283112,,100.0,4.8,,,,False,,,USD,1600000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Aareon AG | Software & Services 1,Aareon AG,Aareon AG,,Software & Services,,,3608567.4580707783,3518353.2716190084,3157496.5258119307,,114.29,4.5,,,0.0,False,,,USD,4000000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Aareon AG | Software & Services 2,Aareon AG,Aareon AG,,Software & Services,,,10013774.69614641,10194203.069049949,9111632.831628714,,109.9,4.5,,,0.0,False,,,USD,11100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Actium Holdings Ltd (fka Alpha Financial Markets Consulting) | Commercial & Professional Services 1,Actium Holdings Ltd (fka Alpha Financial Markets Consulting),Actium Holdings Ltd (fka Alpha Financial Markets Consulting),,Commercial & Professional Services,,,3157496.5258119307,3157496.5258119307,2345568.8477460057,,100.0,4.8,,,,False,,,USD,3500000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Actium Holdings Ltd (fka Alpha Financial Markets Consulting) | Commercial & Professional Services 2,Actium Holdings Ltd (fka Alpha Financial Markets Consulting),Actium Holdings Ltd (fka Alpha Financial Markets Consulting),,Commercial & Professional Services,,,2074926.2883906974,2074926.2883906974,1623855.35613185,,127.78,4.8,,,,False,,,USD,2300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Advanced Dermatology & Cosmetic Surgery | Health Care Equipment & Services 1,Advanced Dermatology & Cosmetic Surgery,Advanced Dermatology & Cosmetic Surgery,,Health Care Equipment & Services,,,1262998.6103247723,1262998.6103247723,1262998.6103247723,,100.0,6.3,,,,False,,,USD,1400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Advanced Dermatology & Cosmetic Surgery | Health Care Equipment & Services 2,Advanced Dermatology & Cosmetic Surgery,Advanced Dermatology & Cosmetic Surgery,,Health Care Equipment & Services,,,40415955.530392714,39874670.4116821,40415955.530392714,,100.0,6.3,,,,False,,,USD,44800000.0
