bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"Jeppesen Holdings, LLC | One stop 1 | Non-Affiliated Issuer","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,2329000.0,2365000.0,2377000.0,,97.98,4.75,8.42,,,False,,,USD,2329000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"Jeppesen Holdings, LLC | One stop 2 | Non-Affiliated Issuer","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,-2000.0,-1000.0,0.0,,200.0,,,,,False,,,USD,-2000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 1 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,33694000.0,33529000.0,33853000.0,,99.53,5.0,8.7,,,False,,,USD,33694000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 2 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,11686000.0,11632000.0,11741000.0,,99.53,5.0,8.7,,,False,,,USD,11686000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 3 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,-2000.0,-4000.0,0.0,,50.0,,,,,False,,,USD,-2000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 4 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,53000.0,53000.0,56000.0,,94.64,5.0,8.91,,,False,,,USD,53000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 5 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,6370000.0,6346000.0,6400000.0,,99.53,5.0,8.7,,,False,,,USD,6370000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 6 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,185000.0,185000.0,186000.0,,99.46,5.0,8.7,,,False,,,USD,185000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"PPW Aero Buyer, Inc. | One stop 7 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,-3000.0,-3000.0,0.0,,100.0,,,,,False,,,USD,-3000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,Titan BW Borrower L.P. | One stop 1 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,1994000.0,1999000.0,2017000.0,,98.86,5.38,6.17,,2.88,True,,,USD,1994000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,Titan BW Borrower L.P. | One stop 2 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,-3000.0,-3000.0,0.0,,100.0,,,,,False,,,USD,-3000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,Titan BW Borrower L.P. | One stop 3 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,99000.0,100000.0,101000.0,,98.02,4.75,8.42,,,False,,,USD,99000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"RJW Group Holdings, Inc. | One stop 1 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,45983000.0,45625000.0,46415000.0,,99.07,5.0,8.7,,,False,,,USD,45983000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"RJW Group Holdings, Inc. | One stop 2 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,2900000.0,2876000.0,2931000.0,,98.94,5.0,8.73,,,False,,,USD,2900000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"RJW Group Holdings, Inc. | One stop 3 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,1694000.0,1694000.0,1710000.0,,99.06,5.0,8.7,,,False,,,USD,1694000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"RJW Group Holdings, Inc. | One stop 4 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,-3000.0,-1000.0,0.0,,300.0,,,,,False,,,USD,-3000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"Arnott, LLC | One stop 1 | Non-Affiliated Issuer","Arnott, LLC","Arnott, LLC",First Lien,,,,4543000.0,4676000.0,4712000.0,,96.41,4.75,8.49,,,False,,,USD,4543000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"Arnott, LLC | One stop 2 | Non-Affiliated Issuer","Arnott, LLC","Arnott, LLC",First Lien,,,,562000.0,584000.0,590000.0,,95.25,4.75,8.41,,,False,,,USD,562000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"Collision SP Subco, LLC | One stop 1 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,2189000.0,2170000.0,2189000.0,,100.0,4.75,8.42,,,False,,,USD,2189000.0
GBDC,0001476765,0001476765-26-000033,10-Q,2026-03-31,2026-05-04,"Collision SP Subco, LLC | One stop 2 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,1278000.0,1268000.0,1278000.0,,100.0,4.75,8.46,,,False,,,USD,1278000.0
