bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Advanced Cooling Technologies, Inc. | One stop 1 | Non-Affiliated Issuer","Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.",First Lien,,,,416000.0,417000.0,418000.0,,99.52,4.5,8.14,,,False,,,USD,416000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Advanced Cooling Technologies, Inc. | One stop 2 | Non-Affiliated Issuer","Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"API Holdings III, LLC | One stop 1 | Non-Affiliated Issuer","API Holdings III, LLC","API Holdings III, LLC",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"API Holdings III, LLC | One stop 2 | Non-Affiliated Issuer","API Holdings III, LLC","API Holdings III, LLC",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"API Holdings III, LLC | One stop 3 | Non-Affiliated Issuer","API Holdings III, LLC","API Holdings III, LLC",First Lien,,,,389000.0,389000.0,391000.0,,99.49,5.5,9.15,,,False,,,USD,389000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Jeppesen Holdings, LLC | One stop 1 | Non-Affiliated Issuer","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,2329000.0,2366000.0,2377000.0,,97.98,4.75,8.41,,,False,,,USD,2329000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Jeppesen Holdings, LLC | One stop 2 | Non-Affiliated Issuer","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,-2000.0,-1000.0,0.0,,200.0,,,,,False,,,USD,-2000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 1 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,33615000.0,33462000.0,33766000.0,,99.55,5.0,8.73,,,False,,,USD,33615000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 2 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,11660000.0,11609000.0,11712000.0,,99.56,5.0,8.73,,,False,,,USD,11660000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 3 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,441000.0,439000.0,443000.0,,99.55,5.0,8.73,,,False,,,USD,441000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 4 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,108000.0,107000.0,109000.0,,99.08,5.0,9.09,,,False,,,USD,108000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 5 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,6355000.0,6334000.0,6384000.0,,99.55,5.0,8.73,,,False,,,USD,6355000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 6 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,185000.0,185000.0,186000.0,,99.46,5.0,8.73,,,False,,,USD,185000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 7 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,65000.0,65000.0,68000.0,,95.59,5.0,8.73,,,False,,,USD,65000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,Titan BW Borrower L.P. | One stop 1 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,1998000.0,2004000.0,2022000.0,,98.81,5.38,6.14,,2.88,True,,,USD,1998000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,Titan BW Borrower L.P. | One stop 2 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,-3000.0,-3000.0,0.0,,100.0,,,,,False,,,USD,-3000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,Titan BW Borrower L.P. | One stop 3 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,99000.0,100000.0,101000.0,,98.02,4.75,8.41,,,False,,,USD,99000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 1 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,46001000.0,45650000.0,46415000.0,,99.11,5.0,8.73,,,False,,,USD,46001000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 2 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,2901000.0,2878000.0,2931000.0,,98.98,5.0,8.67,,,False,,,USD,2901000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 3 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,1695000.0,1695000.0,1710000.0,,99.12,5.0,8.73,,,False,,,USD,1695000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 4 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,-3000.0,-1000.0,0.0,,300.0,,,,,False,,,USD,-3000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Arnott, LLC | One stop 1 | Non-Affiliated Issuer","Arnott, LLC","Arnott, LLC",First Lien,,,,4540000.0,4666000.0,4700000.0,,96.6,4.75,8.49,,,False,,,USD,4540000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Arnott, LLC | One stop 2 | Non-Affiliated Issuer","Arnott, LLC","Arnott, LLC",First Lien,,,,563000.0,585000.0,590000.0,,95.42,4.75,8.39,,,False,,,USD,563000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 1 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,2183000.0,2166000.0,2183000.0,,100.0,4.75,8.41,,,False,,,USD,2183000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 2 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,1274000.0,1265000.0,1274000.0,,100.0,4.75,8.48,,,False,,,USD,1274000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 3 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,0.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Collision SP Subco, LLC | One stop 4 | Non-Affiliated Issuer","Collision SP Subco, LLC","Collision SP Subco, LLC",First Lien,,,,243000.0,241000.0,243000.0,,100.0,4.75,8.41,,,False,,,USD,243000.0
