bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Secured Debt 1","American Nuts, LLC","American Nuts, LLC",Secured Debt,,,,311000.0,311000.0,311000.0,,100.0,8.5,12.36,,12.36,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Secured Debt 2","American Nuts, LLC","American Nuts, LLC",Secured Debt,,,,8412000.0,8412000.0,8412000.0,,100.0,8.5,12.31,,12.31,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Secured Debt 3","American Nuts, LLC","American Nuts, LLC",Secured Debt,,,,6943000.0,8412000.0,8412000.0,,82.54,8.5,12.31,,12.31,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Preferred Equity","American Nuts, LLC","American Nuts, LLC",Preferred Equity,,,,3780000.0,8970000.0,,26638.0,42.14,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Secured Debt","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Secured Debt,,,,3710000.0,3710000.0,3742000.0,,100.0,,13.25,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Preferred Member Units 1","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Preferred Equity,,,,6030000.0,2387000.0,,2411.0,252.62,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Preferred Member Units 2","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Preferred Equity,,,,550000.0,3200000.0,,3108.0,17.19,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Warrants","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Warrant,,,,0.0,316000.0,,420.0,0.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Batjer TopCo, LLC | Secured Debt 1","Batjer TopCo, LLC","Batjer TopCo, LLC",Secured Debt,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Batjer TopCo, LLC | Secured Debt 3","Batjer TopCo, LLC","Batjer TopCo, LLC",Secured Debt,,,,9833000.0,9814000.0,9833000.0,,100.19,,10.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Batjer TopCo, LLC | Preferred Stock","Batjer TopCo, LLC","Batjer TopCo, LLC",Preferred Equity,,,,9370000.0,4095000.0,,4073.0,228.82,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"BDB Holdings, LLC | Secured Debt","BDB Holdings, LLC","BDB Holdings, LLC",Secured Debt,,,,1773000.0,1773000.0,1773000.0,,100.0,,12.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"BDB Holdings, LLC | Preferred Equity","BDB Holdings, LLC","BDB Holdings, LLC",Preferred Equity,,,,7780000.0,19537000.0,,19536995.0,39.82,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Bolder Panther Group, LLC | Secured Debt","Bolder Panther Group, LLC","Bolder Panther Group, LLC",Secured Debt,,,,101046000.0,100836000.0,101046000.0,,100.21,8.4,12.09,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Bolder Panther Group, LLC | Class B Preferred Member Units","Bolder Panther Group, LLC","Bolder Panther Group, LLC",Equity,,,,31190000.0,14000000.0,,140000.0,222.79,,8.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Brewer Crane Holdings, LLC | Secured Debt","Brewer Crane Holdings, LLC","Brewer Crane Holdings, LLC",Secured Debt,,,,5016000.0,5016000.0,5016000.0,,100.0,10.0,13.79,,,False,,,USD,
