bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Healthspan Buyer, LLC | First lien 1",Healthspan Buyer,Healthspan Buyer,First Lien,,,,53399822.29030493,52869449.777798116,53399822.29030493,,100.0,4.75,8.45,,,False,,,USD,53463000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Healthspan Buyer, LLC | First lien 2",Healthspan Buyer,Healthspan Buyer,First Lien,,,,4999085.54632131,4963128.087846272,4999085.54632131,,100.0,4.75,8.45,,,False,,,USD,5005000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Einstein Parent, Inc. | First lien 1",Einstein Parent,Einstein Parent,First Lien,,,,34254473.28892893,35250295.1250293,35539952.42941156,,96.38,5.25,8.92,,,False,,,USD,34295000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Einstein Parent, Inc. | First lien 2",Einstein Parent,Einstein Parent,First Lien,,,,19253221.37680111,19795579.708799608,19976365.819465775,,96.38,5.25,8.92,,,False,,,USD,19276000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Associations, Inc. | First lien",Associations,Associations,First Lien,,,,29911611.359777074,29902621.995158315,29911611.359777074,,100.0,6.5,10.42,,,False,,,USD,29947000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Associations, Inc. | First lien - Drawn",Associations,Associations,First Lien,,,,1825839.8358991717,1824841.0176081983,1825839.8358991717,,100.0,6.5,10.42,,,False,,,USD,1828000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Associations, Inc. | Subordinated 1",Associations,Associations,Subordinated,,,,9487774.945955269,9474790.308172617,9488773.764246242,,99.99,,14.25,,14.25,True,,,USD,9499000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Associations, Inc. | Subordinated 2",Associations,Associations,Subordinated,,,,3623712.7596510914,3617719.8499052515,3623712.7596510914,,100.0,,14.25,,14.25,True,,,USD,3628000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,"Model N, Inc. | First lien",Model N,Model N,First Lien,,,,43612401.857057676,43436609.837846376,43612401.857057676,,100.0,4.75,8.45,,,False,,,USD,43664000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,Deca Dental Holdings LLC | First lien 1,Deca Dental Holdings LLC |,Deca Dental Holdings LLC |,First Lien,,,,34745891.888087794,36417913.70717708,36570732.90569599,,95.01,5.75,9.55,,,False,,,USD,34787000.0
NMFC,0001496099,0001496099-26-000016,10-Q,2026-03-31,2026-05-04,Deca Dental Holdings LLC | First lien 2,Deca Dental Holdings LLC |,Deca Dental Holdings LLC |,First Lien,,,,3657672.581544183,3832465.7824645084,3849445.6934110546,,95.02,5.75,9.55,,,False,,,USD,3662000.0
