bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"IRI Group Holdings, Inc. (f/k/a Circana Group, L.P. (f/k/a The NPD Group, L.P.)) | First lien senior secured loan | Non-Affiliated","IRI Group Holdings, Inc. (f/k/a Circana Group, L.P. (f/k/a The NPD Group, L.P.))","IRI Group Holdings, Inc. (f/k/a Circana Group, L.P. (f/k/a The NPD Group, L.P.))",First Lien,,,,42086000.0,42098000.0,42404000.0,,99.25,4.25,,,,False,,,USD,42086000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Monotype Imaging Holdings Inc. | First lien senior secured loan | Non-Affiliated,Monotype Imaging Holdings Inc.,Monotype Imaging Holdings Inc.,First Lien,,,,141476000.0,142403000.0,143630000.0,,98.5,5.25,,,,False,,,USD,141476000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Applied Composites Holdings, LLC (fka AC&A Enterprises Holdings, LLC) | First lien senior secured loan | Non-Affiliated","Applied Composites Holdings, LLC (fka AC&A Enterprises Holdings, LLC)","Applied Composites Holdings, LLC (fka AC&A Enterprises Holdings, LLC)",First Lien,,,,24277000.0,37498000.0,43352000.0,,56.0,2.69,,,3.61,True,,,USD,24277000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Horizon Avionics Buyer, LLC (dba Acron Aviation) | First lien senior secured loan | Non-Affiliated","Horizon Avionics Buyer, LLC (dba Acron Aviation)","Horizon Avionics Buyer, LLC (dba Acron Aviation)",First Lien,,,,19440000.0,19451000.0,19555000.0,,99.41,4.75,,,,False,,,USD,19440000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Peraton Corp.(3)(9) | Second lien senior secured loan | Non-Affiliated,Peraton Corp.(3)(9),Peraton Corp.(3)(9),Second Lien,,,,40463000.0,57957000.0,60393000.0,,67.0,7.75,,,,False,,,USD,40463000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"STS PARENT, LLC (dba STS Aviation Group) | First lien senior secured loan | Non-Affiliated","STS PARENT, LLC (dba STS Aviation Group)","STS PARENT, LLC (dba STS Aviation Group)",First Lien,,,,109490000.0,109934000.0,110876000.0,,98.75,5.0,,,,False,,,USD,109490000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"STS PARENT, LLC (dba STS Aviation Group) | First lien senior secured revolving loan | Non-Affiliated","STS PARENT, LLC (dba STS Aviation Group)","STS PARENT, LLC (dba STS Aviation Group)",First Lien,,,,9669000.0,9742000.0,9824000.0,,98.42,5.0,,,,False,,,USD,9669000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Hg Genesis 8 Sumoco Limited | Unsecured facility | Non-Affiliated,Hg Genesis 8 Sumoco Limited,Hg Genesis 8 Sumoco Limited,,,,,5265000.0,5039000.0,3967000.0,,104.49,6.0,,,,False,,,USD,5265000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Hg Genesis 9 SumoCo Limited | Unsecured facility | Non-Affiliated,Hg Genesis 9 SumoCo Limited,Hg Genesis 9 SumoCo Limited,,,,,42876000.0,40048000.0,37502000.0,,114.33,,,,6.25,True,,,USD,42876000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Hg Saturn Luchaco Limited | Unsecured facility | Non-Affiliated,Hg Saturn Luchaco Limited,Hg Saturn Luchaco Limited,,,,,71588000.0,68128000.0,53937000.0,,105.08,,,,8.25,True,,,USD,71588000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,MAJCO LLC (dba Big Brand Tire & Service) | First lien senior secured loan | Non-Affiliated,MAJCO LLC (dba Big Brand Tire & Service),MAJCO LLC (dba Big Brand Tire & Service),First Lien,,,,85481000.0,86453000.0,86967000.0,,98.29,4.5,,,,False,,,USD,85481000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Spotless Brands, LLC | First lien senior secured loan | Non-Affiliated","Spotless Brands, LLC","Spotless Brands, LLC",First Lien,,,,93562000.0,92545000.0,93562000.0,,100.0,5.75,,,,False,,,USD,93562000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Spotless Brands, LLC | First lien senior secured delayed draw term loan | Non-Affiliated","Spotless Brands, LLC","Spotless Brands, LLC",First Lien,,,,10968000.0,11002000.0,11120000.0,,98.63,5.0,,,,False,,,USD,10968000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Associations Finance, Inc. | Unsecured notes | Non-Affiliated","Associations Finance, Inc.","Associations Finance, Inc.",,,,,211390000.0,210115000.0,211390000.0,,100.0,,,,14.25,True,,,USD,211390000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Associations, Inc. | First lien senior secured loan | Non-Affiliated","Associations, Inc.","Associations, Inc.",First Lien,,,,318408000.0,316965000.0,318408000.0,,100.0,6.5,,,,False,,,USD,318408000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Wrench Group LLC | First lien senior secured loan | Non-Affiliated,Wrench Group LLC,Wrench Group LLC,First Lien,,,,92568000.0,93017000.0,93503000.0,,99.0,4.75,,,,False,,,USD,92568000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Aurelia Netherlands B.V. | First lien senior secured EUR term loan | Non-Affiliated,Aurelia Netherlands B.V.,Aurelia Netherlands B.V.,First Lien,,,,73327000.0,72487000.0,64136000.0,,114.33,4.75,,,,False,,,USD,73327000.0
