bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"C5 Technology Holdings, LLC, Data Processing & Outsourced Services, Common Stock","C5 Technology Holdings, LLC, Data Processing & Outsourced Services","C5 Technology Holdings, LLC, Data Processing & Outsourced Services",Common Equity,,,,0.0,0.0,,829.0,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"C5 Technology Holdings, LLC, Data Processing & Outsourced Services, Preferred Equity","C5 Technology Holdings, LLC, Data Processing & Outsourced Services","C5 Technology Holdings, LLC, Data Processing & Outsourced Services",Preferred Equity,,,,25889000.0,34984000.0,,34984460.0,74.0,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Continental Intermodal Group LP, Oil & Gas Storage & Transportation, Preferred Equity",Continental Intermodal Group LP,Continental Intermodal Group LP,Preferred Equity,Oil & Gas Storage & Transportation,,,1882000.0,1255000.0,,1254990.0,149.96,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Continental Intermodal Group LP, Oil & Gas Storage & Transportation, Common Stock",Continental Intermodal Group LP,Continental Intermodal Group LP,Common Stock,Oil & Gas Storage & Transportation,,,10688000.0,16172000.0,,22267661.0,66.09,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Dominion Diagnostics, LLC, Health Care Services, First Lien Term Loan 1","Dominion Diagnostics, LLC","Dominion Diagnostics, LLC",First Lien Term Loan 1,Health Care Services,,,6969000.0,4805000.0,6967000.0,,145.04,5.0,8.77,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Dominion Diagnostics, LLC, Health Care Services, First Lien Term Loan 2","Dominion Diagnostics, LLC","Dominion Diagnostics, LLC",First Lien Term Loan 2,Health Care Services,,,1278000.0,13151000.0,12779000.0,,9.72,6.5,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Dominion Diagnostics, LLC, Health Care Services, Common Stock","Dominion Diagnostics, LLC","Dominion Diagnostics, LLC",Common Stock,Health Care Services,,,0.0,15222000.0,,30031.0,0.0,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"OCSI Glick JV LLC, Multi-Sector Holdings, Subordinated Debt",OCSI Glick JV LLC,OCSI Glick JV LLC,Subordinated Debt,Multi-Sector Holdings,,,41527000.0,53867000.0,58349000.0,,77.09,4.5,8.3,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"OCSI Glick JV LLC, Multi-Sector Holdings, Membership Interest",OCSI Glick JV LLC,OCSI Glick JV LLC,Membership Interest,Multi-Sector Holdings,,,0.0,0.0,,,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Senior Loan Fund JV I, LLC, Multi-Sector Holdings, Subordinated Debt","Senior Loan Fund JV I, LLC","Senior Loan Fund JV I, LLC",Subordinated Debt,Multi-Sector Holdings,,,112656000.0,112656000.0,112656000.0,,100.0,7.0,10.8,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Senior Loan Fund JV I, LLC, Multi-Sector Holdings, Membership Interest","Senior Loan Fund JV I, LLC","Senior Loan Fund JV I, LLC",Membership Interest,Multi-Sector Holdings,,,137000.0,54791000.0,,,0.25,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 1","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,678000.0,3346000.0,3872000.0,,20.26,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 2","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,3750000.0,17103000.0,21430000.0,,21.93,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 3","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,743000.0,3643000.0,4248000.0,,20.4,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 4","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,325000.0,1648000.0,1859000.0,,19.72,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 5","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,316000.0,1576000.0,1808000.0,,20.05,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 6","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,867000.0,776000.0,867000.0,,111.73,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 7","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,850000.0,776000.0,850000.0,,109.54,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 8","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,846000.0,776000.0,846000.0,,109.02,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 9","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,812000.0,781000.0,812000.0,,103.97,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, First Lien Term Loan 10","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",First Lien,,,,642000.0,621000.0,642000.0,,103.38,,,,12.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, Common Stock","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",Common Equity,,,,0.0,40092000.0,,1184630.0,0.0,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers, Warrants","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers","SIO2 Medical Products, Inc., Metal, Glass & Plastic Containers",Warrant,,,,0.0,0.0,,66686.0,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"All Web Leads, Inc., Advertising, First Lien Term Loan 1","All Web Leads, Inc., Advertising","All Web Leads, Inc., Advertising",First Lien,,,,1587000.0,1657000.0,1653000.0,,95.78,4.0,7.8,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"All Web Leads, Inc., Advertising, First Lien Term Loan 2","All Web Leads, Inc., Advertising","All Web Leads, Inc., Advertising",First Lien,,,,3526000.0,3679000.0,3711000.0,,95.84,5.0,8.8,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"All Web Leads, Inc., Advertising, First Lien Term Loan 3","All Web Leads, Inc., Advertising","All Web Leads, Inc., Advertising",First Lien,,,,1706000.0,3043000.0,4014000.0,,56.06,,,,10.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"All Web Leads, Inc., Advertising, First Lien Revolver","All Web Leads, Inc., Advertising","All Web Leads, Inc., Advertising",First Lien,,,,1368000.0,1487000.0,1440000.0,,92.0,4.0,7.77,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"All Web Leads, Inc., Advertising, Common Stock","All Web Leads, Inc., Advertising","All Web Leads, Inc., Advertising",Common Equity,,,,0.0,1622000.0,0.0,11499.0,0.0,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Assembled Brands Capital LLC, Specialized Finance, Common Stock",Assembled Brands Capital LLC,Assembled Brands Capital LLC,Common Stock,Specialized Finance,,,1496000.0,1963000.0,,12463242.0,76.21,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Assembled Brands Capital LLC, Specialized Finance, Warrants",Assembled Brands Capital LLC,Assembled Brands Capital LLC,Warrants,Specialized Finance,,,0.0,0.0,,78045.0,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"The Avery, Real Estate Operating Companies, First Lien Term Loan 1",The Avery,The Avery,First Lien Term Loan 1,Real Estate Operating Companies,,,3140000.0,3538000.0,4849000.0,,88.75,,,,10.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"The Avery, Real Estate Operating Companies, First Lien Term Loan 3",The Avery,The Avery,First Lien Term Loan 3,Real Estate Operating Companies,,,8919000.0,8907000.0,8907000.0,,100.13,,,,10.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"The Avery, Real Estate Operating Companies, First Lien Term Loan 4",The Avery,The Avery,First Lien Term Loan 4,Real Estate Operating Companies,,,3991000.0,5316000.0,10843000.0,,75.08,,,,10.0,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"The Avery, Real Estate Operating Companies, Membership Interest",The Avery,The Avery,Membership Interest,Real Estate Operating Companies,,,0.0,0.0,0.0,,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Telestream 2 LLC, Application Software, First Lien Term Loan",Telestream 2 LLC,Telestream 2 LLC,First Lien Term Loan,Application Software,,,17080000.0,17080000.0,17080000.0,,100.0,6.25,9.9,,,False,,,USD,
