ticker,cik,form,period_end,accession,positions,total_fv_usd,total_cost_usd,expected_fv_usd,delta_pct,error
ARCC,0001287750,10-Q,2026-03-31,0001628280-26-027688,1420,29506600000,29647500000,29485000000,+0.07,
BBDC,0001379785,10-Q,2026-03-31,0001379785-26-000022,656,2369908000,2405901000,2399000000,-1.21,
BCSF,0001655050,10-Q,2026-03-31,0001193125-26-217068,555,2472319500,2484381880,2509000000,-1.46,
BXSL,0001736035,10-Q,2026-03-31,0001736035-26-000010,696,13942142000,14296923000,14207000000,-1.86,
CGBD,0001544206,10-Q,2026-03-31,0001544206-26-000033,252,2368772000,2306378000,2464000000,-3.86,
FSK,0001422183,10-Q,2026-03-31,0001628280-26-033118,632,13600300000,14704100000,14404000000,-5.58,
GBDC,0001476765,10-Q,2026-03-31,0001476765-26-000033,1784,8453072000,8360691000,8769000000,-3.60,
GSBD,0001572694,10-Q,2026-03-31,0001193125-26-212431,564,3223737410,3402014510,3262000000,-1.17,
HTGC,0001280784,10-Q,2026-03-31,0001280784-26-000027,363,4730867000,4783749000,4477000000,+5.67,
MAIN,0001396440,10-Q,2026-03-31,0001396440-26-000073,625,5672621000,4933484000,5518000000,+2.80,
MFIC,0001278752,10-Q,2026-03-31,0001193125-26-208941,602,2971430400,3213195030,3168000000,-6.20,
MSDL,0001782524,10-Q,2026-03-31,0001193125-26-211906,729,4055170050,4053269290,3772000000,+7.51,
NMFC,0001496099,10-Q,2026-03-31,0001496099-26-000016,349,2316137000,2540146000,2742000000,-15.53,
OBDC,0001655888,10-Q,2026-03-31,0001655888-26-000033,586,15344232000,16434547000,16475000000,-6.86,
OCSL,0001414932,10-Q,2026-03-31,0001414932-26-000012,372,2793489000,3067902000,2838000000,-1.57,
PSEC,0001287032,10-Q,2026-03-31,0001287032-26-000164,213,8586232000,6192901000,6674000000,+28.65,
TCPC,0001370755,10-Q,2026-03-31,0001193125-26-210632,322,1388668515,1535496962,1533000000,-9.41,
TSLX,0001508655,10-Q,2026-03-31,0001193125-26-206313,218,3335830132,3313942110,3347000000,-0.33,
