bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,3Pillar Global Inc | Software & Services 1,3Pillar Global Inc,3Pillar Global Inc,,Software & Services,,,8300000.0,9200000.0,9200000.0,,90.22,6.0,,,,False,,,USD,8300000.0,Software & Services,,First Lien,,2026-11,,,0.8,(v),,,6.0,,Information Technology,Software & Services,First Lien,3Pillar,3Pillar Global Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,3Pillar Global Inc | Software & Services 2,3Pillar Global Inc,3Pillar Global Inc,,Software & Services,,,109900000.0,121400000.0,121900000.0,,90.16,6.0,,,,False,,,USD,109900000.0,Software & Services,,First Lien,,2027-11,,,0.8,(i)(v),,,6.0,,Information Technology,Software & Services,First Lien,3Pillar,3Pillar Global Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 1,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,16300000.0,15800000.0,16300000.0,,100.0,5.0,,,,False,,,USD,16300000.0,Commercial & Professional Services,,First Lien,,2031-01,,,1.0,(ad)(v),,,5.0,,Industrials,Commercial & Professional Services,First Lien,,48Forty Solutions LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 2,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,20800000.0,20200000.0,20800000.0,,100.0,5.3,,,0.0,False,,,USD,20800000.0,Commercial & Professional Services,,First Lien,,2031-01,,,1.0,(ad)(v),,,5.3,,Industrials,Commercial & Professional Services,First Lien,,48Forty Solutions LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,48Forty Solutions LLC | Commercial & Professional Services 3,48Forty Solutions LLC,48Forty Solutions LLC,,Commercial & Professional Services,,,7900000.0,7900000.0,7900000.0,,100.0,4.8,,,,False,,,USD,7900000.0,Commercial & Professional Services,,First Lien,,2031-01,,,1.0,(ad)(x),,,4.8,,Industrials,Commercial & Professional Services,First Lien,,48Forty Solutions LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Aareon AG | Software & Services 1,Aareon AG,Aareon AG,,Software & Services,,,15100000.0,15200000.0,13600000.0,,111.03,4.5,,,0.0,False,,,USD,15100000.0,Software & Services,,First Lien,,2031-09,,,,(v)(w),,,4.5,,Information Technology,Software & Services,First Lien,,Aareon AG
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Actium Holdings Ltd (fka Alpha Financial Markets Consulting) | Commercial & Professional Services 1,Actium Holdings Ltd,Actium Holdings Ltd,,Commercial & Professional Services,,,5800000.0,5800000.0,4400000.0,,100.0,4.8,,,,False,,,USD,5800000.0,Commercial & Professional Services,,First Lien,,2031-08,,,,(v)(w),,,4.8,,Industrials,Commercial & Professional Services,First Lien,,Actium Holdings Ltd
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Advanced Dermatology & Cosmetic Surgery | Health Care Equipment & Services 1,Advanced Dermatology & Cosmetic Surgery,Advanced Dermatology & Cosmetic Surgery,,Health Care Equipment & Services,,,3500000.0,3500000.0,3500000.0,,100.0,6.3,,,,False,,,USD,3500000.0,Health Care Equipment & Services,,First Lien,,2026-05,,,1.0,(v),,,6.3,,Health Care,Health Care Equipment & Services,First Lien,,Advanced Dermatology & Cosmetic Surgery
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Advanced Dermatology & Cosmetic Surgery | Health Care Equipment & Services 2,Advanced Dermatology & Cosmetic Surgery,Advanced Dermatology & Cosmetic Surgery,,Health Care Equipment & Services,,,44800000.0,44200000.0,44800000.0,,100.0,6.3,,,,False,,,USD,44800000.0,Health Care Equipment & Services,,First Lien,,2027-05,,,1.0,(k)(l)(t)(v),,,6.3,,Health Care,Health Care Equipment & Services,First Lien,,Advanced Dermatology & Cosmetic Surgery
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Advania Sverige AB | Software & Services 1,Advania Sverige AB,Advania Sverige AB,,Software & Services,,,5200000.0,5400000.0,5000000.0,,104.0,4.3,,,,False,,,USD,5200000.0,Software & Services,,First Lien,,2031-05,,,,(aa)(v)(w),,,4.3,,Information Technology,Software & Services,First Lien,Advania,Advania Sverige AB
