bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Advanced Cooling Technologies, Inc. | One stop 1 | Non-Affiliated Issuer","Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.",First Lien,,,,416000.0,417000.0,418000.0,,99.52,4.5,8.14,,,False,,,USD,416000.0,Aerospace & Defense,Unaffiliated,One stop,,2033-05,,,,,,8.14,4.5,,Industrials,Capital Goods,First Lien,,"Advanced Cooling Technologies, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Advanced Cooling Technologies, Inc. | One stop 2 | Non-Affiliated Issuer","Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,,"Advanced Cooling Technologies, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"API Holdings III, LLC | One stop 1 | Non-Affiliated Issuer","API Holdings III, LLC","API Holdings III, LLC",First Lien,,,,0.0,0.0,0.0,,,,,,,False,,,USD,0.0,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,,"API Holdings III, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"API Holdings III, LLC | One stop 3 | Non-Affiliated Issuer","API Holdings III, LLC","API Holdings III, LLC",First Lien,,,,389000.0,389000.0,391000.0,,99.49,5.5,9.15,,,False,,,USD,389000.0,Aerospace & Defense,Unaffiliated,One stop,,2033-06,,,,,,9.15,5.5,,Industrials,Capital Goods,First Lien,,"API Holdings III, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Jeppesen Holdings, LLC | One stop 1 | Non-Affiliated Issuer","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,2329000.0,2366000.0,2377000.0,,97.98,4.75,8.41,,,False,,,USD,2329000.0,Aerospace & Defense,Unaffiliated,One stop,,2032-11,,,,,0.1,8.41,4.75,,Industrials,Capital Goods,First Lien,Jeppesen,"Jeppesen Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Jeppesen Holdings, LLC | One stop 2 | Non-Affiliated Issuer","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,-2000.0,-1000.0,0.0,,200.0,,,,,False,,,USD,-2000.0,Aerospace & Defense,Unaffiliated,One stop,,2032-11,,,,,,,,,Industrials,Capital Goods,First Lien,Jeppesen,"Jeppesen Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"PPW Aero Buyer, Inc. | One stop 1 | Non-Affiliated Issuer","PPW Aero Buyer, Inc.","PPW Aero Buyer, Inc.",First Lien,,,,52429000.0,52201000.0,52668000.0,,99.55,5.0,8.73,,,False,,,USD,52429000.0,Aerospace & Defense,Unaffiliated,One stop,,2031-09,,,,,0.9,8.73,5.0,,Industrials,Capital Goods,First Lien,Pursuit Aerospace,"PPW Aero Buyer, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,Titan BW Borrower L.P. | One stop 1 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,1998000.0,2004000.0,2022000.0,,98.81,5.38,6.14,,2.88,True,,,USD,1998000.0,Aerospace & Defense,Unaffiliated,One stop,,2032-07,,,,,0.1,6.14,5.38,,Industrials,Capital Goods,First Lien,,Titan BW Borrower L.P.
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,Titan BW Borrower L.P. | One stop 2 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,-3000.0,-3000.0,0.0,,100.0,,,,,False,,,USD,-3000.0,Aerospace & Defense,Unaffiliated,One stop,,2032-07,,,,,,,,,Industrials,Capital Goods,First Lien,,Titan BW Borrower L.P.
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,Titan BW Borrower L.P. | One stop 3 | Non-Affiliated Issuer,Titan BW Borrower L.P.,Titan BW Borrower L.P.,First Lien,,,,99000.0,100000.0,101000.0,,98.02,4.75,8.41,,,False,,,USD,99000.0,Aerospace & Defense,Unaffiliated,One stop,,2032-07,,,,,,8.41,4.75,,Industrials,Capital Goods,First Lien,,Titan BW Borrower L.P.
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"RJW Group Holdings, Inc. | One stop 1 | Non-Affiliated Issuer","RJW Group Holdings, Inc.","RJW Group Holdings, Inc.",First Lien,,,,50597000.0,50223000.0,51056000.0,,99.1,5.0,8.73,,,False,,,USD,50597000.0,Air Freight & Logistics,Unaffiliated,One stop,,2031-11,,,,,1.2,9.0,5.0,,Industrials,Transportation,First Lien,RJW Logistics,"RJW Group Holdings, Inc."
